,Unnamed: 0,ID,flow_id,time,bytes,bytes_sum,dir,iat
402,402,2023-10-12 02:44:03US0.123126158,2023-10-12 02:44:03US,0.12312615800000001,282,282,True,0.12312615800000001
403,403,2023-10-12 02:44:03US0.156684494,2023-10-12 02:44:03US,0.156684494,576,858,False,0.156684494
404,404,2023-10-12 02:44:03US0.156782671,2023-10-12 02:44:03US,0.15678267099999998,3977,4835,False,9.817700000000483e-05
405,405,2023-10-12 02:44:03US0.179306267,2023-10-12 02:44:03US,0.179306267,158,4993,True,0.056180108999999985
406,406,2023-10-12 02:44:03US0.208047885,2023-10-12 02:44:03US,0.208047885,120,5113,False,0.051265213999999976
407,407,2023-10-12 02:44:03US0.208776948,2023-10-12 02:44:03US,0.20877694800000002,31,5144,True,0.029470681000000002
408,408,2023-10-12 02:44:03US0.122593241,2023-10-12 02:44:03US,0.12259324099999999,282,5426,True,-0.08618370699999997
409,409,2023-10-12 02:44:03US0.155343921,2023-10-12 02:44:03US,0.155343921,576,6002,False,-0.052703963999999985
410,410,2023-10-12 02:44:03US0.155537307,2023-10-12 02:44:03US,0.15553730699999999,3977,9979,False,0.0001933860000000176
411,411,2023-10-12 02:44:03US0.179445903,2023-10-12 02:44:03US,0.17944590300000002,158,10137,True,0.056852661999999984
412,412,2023-10-12 02:44:03US0.208150854,2023-10-12 02:44:03US,0.208150854,120,10257,False,0.05261354699999998
413,413,2023-10-12 02:44:03US0.209266531,2023-10-12 02:44:03US,0.209266531,31,10288,True,0.02982062800000002
2622,2622,2023-10-12 00:07:32US0.743931,2023-10-12 00:07:32US,0.743931,286,286,True,0.743931
2623,2623,2023-10-12 00:07:32US0.804906,2023-10-12 00:07:32US,0.804906,517,803,False,0.804906
2624,2624,2023-10-12 00:07:32US0.805313,2023-10-12 00:07:32US,0.8053130000000001,1800,2603,False,0.0004069999999999352
2625,2625,2023-10-12 00:07:32US0.805363,2023-10-12 00:07:32US,0.805363,279,2882,False,5.0000000000105516e-05
2626,2626,2023-10-12 00:07:32US0.805604,2023-10-12 00:07:32US,0.805604,643,3525,False,0.00024099999999993568
2627,2627,2023-10-12 00:07:32US0.807341,2023-10-12 00:07:32US,0.807341,64,3589,True,0.06340999999999998
2628,2628,2023-10-12 00:07:32US0.807453,2023-10-12 00:07:32US,0.807453,24,3613,True,0.000112000000000001
2629,2629,2023-10-12 00:07:35US0.832980509,2023-10-12 00:07:35US,0.8329805090000001,282,282,True,0.8329805090000001
2630,2630,2023-10-12 00:07:35US0.855491658,2023-10-12 00:07:35US,0.8554916579999999,576,858,False,0.8554916579999999
2631,2631,2023-10-12 00:07:35US0.855566732,2023-10-12 00:07:35US,0.855566732,3977,4835,False,7.507399999995279e-05
2632,2632,2023-10-12 00:07:35US0.87874943,2023-10-12 00:07:35US,0.87874943,158,4993,True,0.045768921000000067
2633,2633,2023-10-12 00:07:35US0.911613159,2023-10-12 00:07:35US,0.9116131590000001,120,5113,False,0.05604642699999995
2634,2634,2023-10-12 00:07:35US0.912047363,2023-10-12 00:07:35US,0.912047363,31,5144,True,0.033297932999999946
2748,2748,2023-10-12 00:14:25US0.624538038,2023-10-12 00:14:25US,0.624538038,282,282,True,0.624538038
2749,2749,2023-10-12 00:14:25US0.728957884,2023-10-12 00:14:25US,0.7289578840000001,576,858,False,0.7289578840000001
2750,2750,2023-10-12 00:14:25US0.729226,2023-10-12 00:14:25US,0.729226,2344,3202,False,0.00026811600000009594
2751,2751,2023-10-12 00:14:25US0.729389692,2023-10-12 00:14:25US,0.729389692,1460,4662,False,0.0001636919999999931
2752,2752,2023-10-12 00:14:25US0.729873269,2023-10-12 00:14:25US,0.729873269,173,4835,False,0.0004835770000000128
2753,2753,2023-10-12 00:14:25US0.741106576,2023-10-12 00:14:25US,0.741106576,158,4993,True,0.11656853800000001
2754,2754,2023-10-12 00:14:25US0.828428576,2023-10-12 00:14:25US,0.828428576,120,5113,False,0.09855530699999993
2755,2755,2023-10-12 00:14:25US0.829134307,2023-10-12 00:14:25US,0.829134307,31,5144,True,0.08802773100000005
4175,4175,2023-10-12 03:05:43US0.265275677,2023-10-12 03:05:43US,0.265275677,282,282,True,0.265275677
4176,4176,2023-10-12 03:05:43US0.344412656,2023-10-12 03:05:43US,0.34441265600000004,576,858,False,0.34441265600000004
4177,4177,2023-10-12 03:05:43US0.344485208,2023-10-12 03:05:43US,0.344485208,3977,4835,False,7.25520000000035e-05
4178,4178,2023-10-12 03:05:43US0.360062499,2023-10-12 03:05:43US,0.360062499,158,4993,True,0.094786822
4179,4179,2023-10-12 03:05:43US0.472506979,2023-10-12 03:05:43US,0.472506979,120,5113,False,0.128021771
4180,4180,2023-10-12 03:05:43US0.473049583,2023-10-12 03:05:43US,0.473049583,31,5144,True,0.11298708400000003
4181,4181,2023-10-12 03:05:43US0.265509479,2023-10-12 03:05:43US,0.265509479,282,5426,True,-0.20754010399999998
4182,4182,2023-10-12 03:05:43US0.344548801,2023-10-12 03:05:43US,0.344548801,576,6002,False,-0.12795817799999998
4183,4183,2023-10-12 03:05:43US0.344626666,2023-10-12 03:05:43US,0.344626666,3977,9979,False,7.786500000001029e-05
4184,4184,2023-10-12 03:05:43US0.360131354,2023-10-12 03:05:43US,0.36013135399999996,158,10137,True,0.09462187500000002
4185,4185,2023-10-12 03:05:43US0.472802239,2023-10-12 03:05:43US,0.47280223899999996,120,10257,False,0.12817557300000001
4186,4186,2023-10-12 03:05:43US0.473304531,2023-10-12 03:05:43US,0.47330453100000003,31,10288,True,0.11317317699999994
4500,4500,2023-10-12 03:13:08US0.208984923,2023-10-12 03:13:08US,0.20898492300000002,282,282,True,0.20898492300000002
4501,4501,2023-10-12 03:13:08US0.309739192,2023-10-12 03:13:08US,0.309739192,576,858,False,0.309739192
4502,4502,2023-10-12 03:13:08US0.309866038,2023-10-12 03:13:08US,0.309866038,3977,4835,False,0.00012684600000001378
4503,4503,2023-10-12 03:13:08US0.328817576,2023-10-12 03:13:08US,0.328817576,158,4993,True,0.119832653
4504,4504,2023-10-12 03:13:08US0.410385961,2023-10-12 03:13:08US,0.410385961,120,5113,False,0.100519923
4505,4505,2023-10-12 03:13:08US0.411870115,2023-10-12 03:13:08US,0.411870115,31,5144,True,0.08305253899999998
5177,5177,2023-10-12 04:06:59US0.534588282,2023-10-12 04:06:59US,0.5345882820000001,287,287,True,0.5345882820000001
5178,5178,2023-10-12 04:06:59US0.557300889,2023-10-12 04:06:59US,0.557300889,517,804,False,0.557300889
5179,5179,2023-10-12 04:06:59US0.558975055,2023-10-12 04:06:59US,0.558975055,1800,2604,False,0.0016741660000000325
5180,5180,2023-10-12 04:06:59US0.559064951,2023-10-12 04:06:59US,0.559064951,1184,3788,False,8.989599999997823e-05
5181,5181,2023-10-12 04:06:59US0.561785681,2023-10-12 04:06:59US,0.561785681,64,3852,True,0.027197399000000063
5182,5182,2023-10-12 04:06:59US0.5620574,2023-10-12 04:06:59US,0.5620574,24,3876,True,0.0002717190000000036
12164,12164,2023-10-12 04:02:46US0.2805469,2023-10-12 04:02:46US,0.2805469,286,286,True,0.2805469
12165,12165,2023-10-12 04:02:46US0.3059427,2023-10-12 04:02:46US,0.3059427,517,803,False,0.3059427
12166,12166,2023-10-12 04:02:46US0.3059427,2023-10-12 04:02:46US,0.3059427,2403,3206,False,0.0
12167,12167,2023-10-12 04:02:46US0.3069569,2023-10-12 04:02:46US,0.30695690000000003,1633,4839,False,0.0010141999999999651
12168,12168,2023-10-12 04:02:46US0.3200955,2023-10-12 04:02:46US,0.3200955,158,4997,True,0.03954859999999999
12169,12169,2023-10-12 04:02:46US0.3430765,2023-10-12 04:02:46US,0.3430765,51,5048,False,0.03611960000000003
12170,12170,2023-10-12 04:02:46US0.3445832,2023-10-12 04:02:46US,0.34458320000000003,31,5079,True,0.0244877
12344,12344,2023-10-12 04:03:19US0.37686177,2023-10-12 04:03:19US,0.37686177,282,282,True,0.37686177
12345,12345,2023-10-12 04:03:19US0.393899924,2023-10-12 04:03:19US,0.393899924,576,858,False,0.393899924
12346,12346,2023-10-12 04:03:19US0.394041847,2023-10-12 04:03:19US,0.39404184700000006,3977,4835,False,0.00014192299999998823
12347,12347,2023-10-12 04:03:19US0.436491924,2023-10-12 04:03:19US,0.436491924,158,4993,True,0.05963015399999999
12348,12348,2023-10-12 04:03:19US0.453127308,2023-10-12 04:03:19US,0.45312730799999995,120,5113,False,0.05908546100000001
12349,12349,2023-10-12 04:03:19US0.454235077,2023-10-12 04:03:19US,0.45423507700000004,31,5144,True,0.017743153000000008
12742,12742,2023-10-12 04:04:43US0.141268764,2023-10-12 04:04:43US,0.141268764,282,282,True,0.141268764
12743,12743,2023-10-12 04:04:43US0.181192205,2023-10-12 04:04:43US,0.181192205,576,858,False,0.181192205
12744,12744,2023-10-12 04:04:43US0.181268143,2023-10-12 04:04:43US,0.18126814300000002,884,1742,False,7.593799999999762e-05
12745,12745,2023-10-12 04:04:43US0.185293872,2023-10-12 04:04:43US,0.185293872,1460,3202,False,0.0040257290000000065
12746,12746,2023-10-12 04:04:43US0.185332154,2023-10-12 04:04:43US,0.185332154,1633,4835,False,3.828200000000059e-05
12747,12747,2023-10-12 04:04:43US0.201764395,2023-10-12 04:04:43US,0.201764395,158,4993,True,0.06049563100000002
12748,12748,2023-10-12 04:04:43US0.234424554,2023-10-12 04:04:43US,0.23442455399999998,120,5113,False,0.049092400000000015
12749,12749,2023-10-12 04:04:43US0.235263982,2023-10-12 04:04:43US,0.23526398199999998,31,5144,True,0.033499587000000004
13672,13672,2023-10-12 01:16:38US0.85329446,2023-10-12 01:16:38US,0.85329446,282,282,True,0.85329446
13673,13673,2023-10-12 01:16:38US0.870336024,2023-10-12 01:16:38US,0.8703360240000001,576,858,False,0.8703360240000001
13674,13674,2023-10-12 01:16:38US0.870506753,2023-10-12 01:16:38US,0.870506753,3977,4835,False,0.00017072900000003607
13675,13675,2023-10-12 01:16:38US0.892353786,2023-10-12 01:16:38US,0.8923537859999999,158,4993,True,0.03905932600000006
13676,13676,2023-10-12 01:16:38US0.913304726,2023-10-12 01:16:38US,0.9133047259999999,120,5113,False,0.04279797299999999
13677,13677,2023-10-12 01:16:38US0.91421983,2023-10-12 01:16:38US,0.91421983,31,5144,True,0.021866043999999918
15309,15309,2023-10-12 02:36:47US1.444992708,2023-10-12 02:36:47US,1.444992708,282,282,True,1.444992708
15310,15310,2023-10-12 02:36:47US1.52293401,2023-10-12 02:36:47US,1.52293401,576,858,False,1.52293401
15311,15311,2023-10-12 02:36:47US1.523153176,2023-10-12 02:36:47US,1.5231531759999999,3977,4835,False,0.0002191660000001594
15312,15312,2023-10-12 02:36:47US1.547314322,2023-10-12 02:36:47US,1.5473143219999999,158,4993,True,0.10232161400000006
15313,15313,2023-10-12 02:36:47US1.626504895,2023-10-12 02:36:47US,1.626504895,120,5113,False,0.10335171899999997
15314,15314,2023-10-12 02:36:47US1.62769927,2023-10-12 02:36:47US,1.62769927,31,5144,True,0.08038494799999985
15315,15315,2023-10-12 02:36:47US1.445064583,2023-10-12 02:36:47US,1.4450645830000002,282,5426,True,-0.182634687
15316,15316,2023-10-12 02:36:47US1.533383072,2023-10-12 02:36:47US,1.533383072,576,6002,False,-0.09312182300000016
15317,15317,2023-10-12 02:36:47US1.533462291,2023-10-12 02:36:47US,1.533462291,3977,9979,False,7.921900000007476e-05
15318,15318,2023-10-12 02:36:47US1.550830312,2023-10-12 02:36:47US,1.550830312,158,10137,True,0.10576572900000004
15319,15319,2023-10-12 02:36:47US1.627255104,2023-10-12 02:36:47US,1.627255104,120,10257,False,0.09379281300000007
15320,15320,2023-10-12 02:36:47US1.6283234370000002,2023-10-12 02:36:47US,1.6283234370000002,31,10288,True,0.07749312500000016
15793,15793,2023-10-12 02:39:21US0.326985937,2023-10-12 02:39:21US,0.326985937,282,282,True,0.326985937
15794,15794,2023-10-12 02:39:21US0.446311874,2023-10-12 02:39:21US,0.446311874,576,858,False,0.446311874
15795,15795,2023-10-12 02:39:21US0.446480729,2023-10-12 02:39:21US,0.44648072899999997,3977,4835,False,0.00016885500000002332
15796,15796,2023-10-12 02:39:21US0.463510937,2023-10-12 02:39:21US,0.463510937,158,4993,True,0.136525
15797,15797,2023-10-12 02:39:21US0.596801145,2023-10-12 02:39:21US,0.596801145,120,5113,False,0.15032041599999998
15798,15798,2023-10-12 02:39:21US0.59730401,2023-10-12 02:39:21US,0.59730401,31,5144,True,0.13379307299999998
15846,15846,2023-10-12 02:39:58US0.176684896,2023-10-12 02:39:58US,0.176684896,291,291,True,0.176684896
15847,15847,2023-10-12 02:39:58US0.193635365,2023-10-12 02:39:58US,0.193635365,517,808,False,0.193635365
15848,15848,2023-10-12 02:39:58US0.196688698,2023-10-12 02:39:58US,0.196688698,1800,2608,False,0.0030533329999999914
15849,15849,2023-10-12 02:39:58US0.196875,2023-10-12 02:39:58US,0.196875,923,3531,False,0.00018630199999999933
15850,15850,2023-10-12 02:39:58US0.203026927,2023-10-12 02:39:58US,0.203026927,64,3595,True,0.026342030999999988
15851,15851,2023-10-12 02:39:58US0.203320573,2023-10-12 02:39:58US,0.203320573,24,3619,True,0.0002936460000000085
21946,21946,2023-10-12 05:11:35US0.17833934,2023-10-12 05:11:35US,0.17833934,282,282,True,0.17833934
21947,21947,2023-10-12 05:11:35US0.201507051,2023-10-12 05:11:35US,0.20150705100000002,576,858,False,0.20150705100000002
21948,21948,2023-10-12 05:11:35US0.201600332,2023-10-12 05:11:35US,0.201600332,884,1742,False,9.32810000000006e-05
21949,21949,2023-10-12 05:11:35US0.20237778,2023-10-12 05:11:35US,0.20237778,1460,3202,False,0.0007774480000000139
21950,21950,2023-10-12 05:11:35US0.203063926,2023-10-12 05:11:35US,0.203063926,1460,4662,False,0.0006861459999999986
21951,21951,2023-10-12 05:11:35US0.203332416,2023-10-12 05:11:35US,0.20333241600000002,173,4835,False,0.00026848999999998235
21952,21952,2023-10-12 05:11:35US0.215572209,2023-10-12 05:11:35US,0.215572209,158,4993,True,0.03723286899999997
21953,21953,2023-10-12 05:11:35US0.28017185,2023-10-12 05:11:35US,0.28017185,120,5113,False,0.07683943400000001
21954,21954,2023-10-12 05:11:35US0.28070633,2023-10-12 05:11:35US,0.28070633,31,5144,True,0.06513412100000003
21955,21955,2023-10-12 05:11:35US0.835679154,2023-10-12 05:11:35US,0.835679154,282,282,True,0.835679154
21956,21956,2023-10-12 05:11:35US0.871324923,2023-10-12 05:11:35US,0.871324923,576,858,False,0.871324923
21957,21957,2023-10-12 05:11:35US0.88056177,2023-10-12 05:11:35US,0.88056177,1349,2207,False,0.009236847000000048
21958,21958,2023-10-12 05:11:35US0.88093177,2023-10-12 05:11:35US,0.88093177,1315,3522,False,0.00036999999999998156
21959,21959,2023-10-12 05:11:35US0.912648385,2023-10-12 05:11:35US,0.912648385,64,3586,True,0.07696923099999997
21960,21960,2023-10-12 05:11:35US0.913244308,2023-10-12 05:11:35US,0.913244308,24,3610,True,0.0005959229999999982
21961,21961,2023-10-12 05:11:35US0.836906231,2023-10-12 05:11:35US,0.836906231,282,3892,True,-0.07633807700000006
21962,21962,2023-10-12 05:11:35US0.883115616,2023-10-12 05:11:35US,0.883115616,576,4468,False,0.002183845999999989
21963,21963,2023-10-12 05:11:35US0.895128539,2023-10-12 05:11:35US,0.8951285390000001,1349,5817,False,0.012012923000000009
21964,21964,2023-10-12 05:11:35US0.895388693,2023-10-12 05:11:35US,0.895388693,1330,7147,False,0.00026015400000001243
21965,21965,2023-10-12 05:11:35US0.922300154,2023-10-12 05:11:35US,0.9223001540000001,64,7211,True,0.08539392300000004
21966,21966,2023-10-12 05:11:35US0.922924385,2023-10-12 05:11:35US,0.922924385,24,7235,True,0.0006242309999999751
21967,21967,2023-10-12 05:11:35US15.374417232,2023-10-12 05:11:35US,15.374417232,283,283,True,15.374417232
21968,21968,2023-10-12 05:11:35US15.73876277,2023-10-12 05:11:35US,15.73876277,576,859,False,15.73876277
21969,21969,2023-10-12 05:11:35US15.743347078,2023-10-12 05:11:35US,15.743347078,844,1703,False,0.004584308000000092
21970,21970,2023-10-12 05:11:35US15.766341232,2023-10-12 05:11:35US,15.766341232,1420,3123,False,0.022994154000000933
21971,21971,2023-10-12 05:11:35US15.780642155,2023-10-12 05:11:35US,15.780642155,3271,6394,False,0.01430092300000041
21972,21972,2023-10-12 05:11:35US15.801123309,2023-10-12 05:11:35US,15.801123309000001,80,6474,True,0.4267060769999986
21973,21973,2023-10-12 05:11:35US15.801589232,2023-10-12 05:11:35US,15.801589232000001,24,6498,True,0.0004659230000001458
21974,21974,2023-10-12 05:11:35US15.388413232,2023-10-12 05:11:35US,15.388413232000001,283,6781,True,-0.41317600000000004
21975,21975,2023-10-12 05:11:35US15.737300309,2023-10-12 05:11:35US,15.737300309,576,7357,False,-0.043341846000000565
21976,21976,2023-10-12 05:11:35US15.743336232,2023-10-12 05:11:35US,15.743336232,3520,10877,False,0.006035923000000665
21977,21977,2023-10-12 05:11:35US15.752394078,2023-10-12 05:11:35US,15.752394078,1428,12305,False,0.009057845999999259
